id,pos,CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
W2p1p2_172923,134.1083747999999 -1.9783071039999953,0.290861,0.002,7.0E-4,0.5355,14.4,24.6302,23.8099,23.1264,22.7502,22.4892
W2p1p2_172924,134.52870409999971 -1.9780708320000053,0.795745,-0.005,-0.0138,0.7143,4.2,26.3859,25.6394,25.0811,24.2677,24.355
W2p1p2_172925,134.5702499 -1.9780573680000046,0.982006,-0.0045,-0.0136,0.0,18.1,99.0,25.5405,24.3577,22.5565,21.8846
W2p1p2_172926,134.31127959999984 -1.9779969340000016,0.655828,-0.0047,-0.0086,0.8343,2.7,26.1252,25.8501,24.9644,24.551,24.2724
W2p1p2_172930,134.86280589999973 -1.9779862639999892,0.911408,-0.0041,-0.0458,0.0,17.5,24.4939,23.3056,22.907,22.5501,22.6124
W2p1p2_172933,134.6249224000002 -1.978013329000021,0.0821571,-0.0041,-0.0175,1.2191,5.3,24.4767,24.2408,24.1492,23.9829,23.4778
W2p1p2_172938,134.4671630999997 -1.978021165000016,1.4074E-4,-0.0041,-0.012,2.4554,5.9,24.6875,24.472,24.3073,23.8201,23.5176
W2p1p2_172947,134.03467229999995 -1.9778650950000212,0.13562,-0.0044,0.0058,0.613,6.5,99.0,25.1464,24.2712,23.7325,23.6747
W2p1p2_172953,134.45620300000016 -1.9779030000000055,0.00381207,-0.0049,-0.0116,1.6832,3.8,25.0924,24.4002,24.1313,24.1561,23.8109
W2p1p2_172956,133.9765035000002 -1.9778004189999934,0.718262,-0.0013,0.0168,0.6506,3.4,25.0524,24.6122,24.4567,24.2513,23.8512
W2p1p2_172961,134.7016577999999 -1.977813322000023,0.797807,-0.0024,-0.0228,1.012,4.3,99.0,25.1784,24.322,24.1189,23.6764
W2p1p2_172966,134.13935250000017 -1.9777994819999871,0.132779,0.0011,-0.0015,1.141,3.3,25.5071,24.9989,24.8664,24.5843,24.337
W2p1p2_172974,134.16353469999984 -1.9778383569999922,0.0477952,-1.0E-4,-0.0045,0.9891,19.8,24.1078,23.3969,22.699,22.4298,22.2342
W2p1p2_172975,134.45821699999985 -1.9786051649999847,0.0265138,-0.0048,-0.0117,2.6132,35.4,24.4612,23.3164,22.2207,21.6701,21.2763
W2p1p2_172976,134.89171749999977 -1.9781979320000231,3.23712E-4,-0.0031,-0.0415,2.8363,11.5,23.9831,23.7177,23.5284,23.003,22.5686
W2p1p2_172980,134.04680559999983 -1.9776393829999843,0.710123,-0.0066,0.0029,1.8408,5.6,24.4153,24.0849,24.0359,23.9204,23.7117
W2p1p2_172981,134.69033650000029 -1.9777655509999752,0.161564,-0.0028,-0.0227,0.9594,15.2,24.6879,23.6343,23.0143,22.7125,22.5611
W2p1p2_172988,134.31208199999998 -1.9787478050000051,0.0301614,-0.0047,-0.0086,2.8161,85.3,23.9845,22.8072,21.5062,20.7739,20.4373
W2p1p2_172989,134.0741458000002 -1.9776845380000163,0.0855021,0.0029,0.0032,0.8125,13.3,24.2989,23.5423,23.0697,22.9256,22.8006
W2p1p2_172993,134.67104900000018 -1.9776290810000212,0.682928,-0.0033,-0.0215,0.7692,4.6,99.0,26.8232,25.899,24.1297,23.6273
W2p1p2_172998,134.6531792999998 -1.9776221250000134,0.975362,-0.0031,-0.0178,0.0,8.1,99.0,26.5486,24.9772,23.4835,23.0189
W2p1p2_172999,134.58321380000004 -1.9776243579999735,0.0230752,-0.0041,-0.0136,1.3427,7.8,24.5292,24.3082,24.0182,23.6159,23.0676
W2p1p2_173001,134.22893129999986 -1.977660225000007,0.02379,-0.0013,-0.0054,1.4295,10.1,24.7006,24.1833,23.4499,23.1352,22.6778
W2p1p2_173005,134.7805274999999 -1.9775497290000121,0.601787,0.0,-0.0275,0.9751,3.0,99.0,26.427,25.062,24.5931,23.7487
W2p1p2_173008,134.38487210000022 -1.9776050309999755,0.0237373,-0.005,-0.0101,1.4458,9.0,25.2934,24.653,23.8895,23.3481,23.5228
W2p1p2_173009,134.60666700000013 -1.9775698199999823,0.184322,-0.0039,-0.0141,1.2439,6.9,24.9393,24.7175,24.2587,23.5107,22.8923
W2p1p2_173010,134.7990484999998 -1.9785820060000228,0.981692,-0.0013,-0.0328,0.0,107.9,27.164,23.9229,22.5585,20.5316,19.6851
W2p1p2_173011,134.33820199999994 -1.9775969850000163,0.197262,-0.0048,-0.009,1.2094,5.7,25.0009,24.7683,24.6019,23.8963,23.8714
W2p1p2_173013,134.80830119999985 -1.9774944840000102,0.35996,-0.0017,-0.0339,1.0167,2.8,26.3128,25.5556,24.7855,24.6201,24.7144
W2p1p2_173017,134.69367070000027 -1.9775413130000148,0.815184,-0.0027,-0.0236,0.6592,3.9,25.0342,24.6594,24.5522,24.3059,24.3536
W2p1p2_173018,134.29964140000018 -1.9775657230000199,0.0674277,-0.0036,-0.0073,1.1308,10.4,25.5993,24.6228,23.8625,23.1962,22.8999
